mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1777658988.418109,18452,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658988.627975,18654,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658988.8078341,18856,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658989.0200582,19058,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658989.2277179,19261,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658989.4382432,19463,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658989.619343,19665,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658989.827213,19867,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658990.0379388,20070,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658990.248091,20273,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658990.4281101,20475,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658990.6380959,20677,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658990.8472488,20880,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658991.028024,21082,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658991.237299,21284,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658991.447903,21486,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658991.6593568,21689,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658991.838145,21892,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658992.0510778,22094,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658992.260489,22296,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658992.468054,22498,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658992.64711,22701,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658992.857308,22903,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658993.0672472,23105,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658993.278118,23308,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658993.45807,23510,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658993.668287,23712,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658993.878106,23914,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658994.087096,24117,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658994.2681448,24320,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658994.4781702,24522,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658994.688548,24724,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658994.898283,24927,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658995.078115,25129,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658995.290282,25331,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658995.498313,25533,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658995.708176,25737,10.63,12.72,-0.00,-0.01,-0.01,-0.01
1777658995.887821,25939,10.63,12.72,-0.00,-0.01,-0.01,-0.01
